Date,Clicks,Impressions,Position
2021-10-07,229,7804,27.39
2021-10-06,220,8433,28.57
2021-10-05,194,8518,27.43
2021-10-04,226,10015,31.83
2021-10-03,154,8023,33.84
2021-10-02,112,6022,33.07
2021-10-01,116,11517,33.06
2021-09-30,213,10830,31.14
2021-09-29,205,8253,27.91
2021-09-28,214,8101,26.61
2021-09-27,208,9535,29.03
2021-09-26,131,8629,38.06
2021-09-25,99,5754,32.32
2021-09-24,166,8627,29.67
2021-09-23,244,9467,31.82
2021-09-22,224,9323,28.86
2021-09-21,182,9401,28.51
2021-09-20,241,11084,29.79
2021-09-19,126,8694,34.21
2021-09-18,119,6946,33.60
2021-09-17,180,7941,28.04
2021-09-16,188,9477,31.22
2021-09-15,210,9810,31.19
2021-09-14,184,9377,30.63
2021-09-13,233,11238,31.67
2021-09-12,132,11206,35.45
2021-09-11,84,7244,31.20
2021-09-10,160,8022,27.77
2021-09-09,179,8346,27.22
2021-09-08,185,8900,27.68
2021-09-07,216,8581,27.11
2021-09-06,213,8846,26.71
2021-09-05,135,8053,33.86
2021-09-04,97,7915,29.44
2021-09-03,140,10343,27.17
